route_id,service_id,trip_id,trip_headsign,block_id
930002,土曜,930002+土曜+9300909,,930002+土曜+9300837
930002,土曜,930002+土曜+9300910,,930002+土曜+9300838
930002,土曜,930002+土曜+9300911,,930002+土曜+9300833
930002,土曜,930002+土曜+9300912,,930002+土曜+9300840
930002,土曜,930002+土曜+9300913,,930002+土曜+9300831
930002,土曜,930002+土曜+9300980,,930002+土曜+9300842
930002,土曜,930002+土曜+9300981,,930002+土曜+9300832
930002,土曜,930002+土曜+9300982,,930002+土曜+9300837
930002,土曜,930002+土曜+9300983,,930002+土曜+9300838
930002,土曜,930002+土曜+9300984,,930002+土曜+9300833
930002,土曜,930002+土曜+9300985,,930002+土曜+9300840
930002,土曜,930002+土曜+9300986,,930002+土曜+9300831
930002,土曜,930002+土曜+9300987,,930002+土曜+9300842
930002,土曜,930002+土曜+9300988,,930002+土曜+9300832
930002,土曜,930002+土曜+9300989,,930002+土曜+9300837
930002,土曜,930002+土曜+9300990,,930002+土曜+9300838
930002,土曜,930002+土曜+9300991,,930002+土曜+9300833
930002,土曜,930002+土曜+9300992,,930002+土曜+9300840
930002,土曜,930002+土曜+9300993,,930002+土曜+9300831
930002,土曜,930002+土曜+9300994,中央図書館前行き,930002+土曜+9300842
930002,土曜,930002+土曜+9300995,,930002+土曜+9300832
930002,土曜,930002+土曜+9300996,,930002+土曜+9300837
930002,土曜,930002+土曜+9300997,中央図書館前行き,930002+土曜+9300838
930002,土曜,930002+土曜+9300998,,930002+土曜+9300833
930002,土曜,930002+土曜+9300999,,930002+土曜+9300840
930002,土曜,930002+土曜+9301000,,930002+土曜+9300831
930002,土曜,930002+土曜+9301001,,930002+土曜+9300832
930002,土曜,930002+土曜+9301002,,930002+土曜+9300837
930002,土曜,930002+土曜+9301003,,930002+土曜+9300833
930002,土曜,930002+土曜+9301004,,930002+土曜+9300840
930002,土曜,930002+土曜+9301005,,930002+土曜+9300831
930002,土曜,930002+土曜+9301006,中央図書館前行き,930002+土曜+9300832
930002,土曜,930002+土曜+9301007,,930002+土曜+9300837
930002,土曜,930002+土曜+9301008,,930002+土曜+9300833
930002,土曜,930002+土曜+9301009,中央図書館前行き,930002+土曜+9300840
930002,土曜,930002+土曜+9301010,,930002+土曜+9300831
930002,土曜,930002+土曜+9301011,,930002+土曜+9300837
930002,土曜,930002+土曜+9301012,,930002+土曜+9300833
930002,土曜,930002+土曜+9301013,中央図書館前行き,930002+土曜+9300831
930002,土曜,930002+土曜+9301014,中央図書館前行き,930002+土曜+9300837
930002,土曜,930002+土曜+9301015,中央図書館前行き,930002+土曜+9300833
930002,日曜,930002+日曜+9301016,,930002+日曜+9301016
930002,日曜,930002+日曜+9301018,,930002+日曜+9301018
930002,日曜,930002+日曜+9301019,,930002+日曜+9301019
930002,日曜,930002+日曜+9301020,,930002+日曜+9301016
930002,日曜,930002+日曜+9301021,,930002+日曜+9301021
930002,日曜,930002+日曜+9301022,,930002+日曜+9301018
930002,日曜,930002+日曜+9301023,,930002+日曜+9301023
930002,日曜,930002+日曜+9301024,,930002+日曜+9301024
930002,日曜,930002+日曜+9301025,,930002+日曜+9301019
930002,日曜,930002+日曜+9301026,,930002+日曜+9301026
930002,日曜,930002+日曜+9301027,,930002+日曜+9301016
930002,日曜,930002+日曜+9301028,,930002+日曜+9301021
930002,日曜,930002+日曜+9301029,,930002+日曜+9301018
930002,日曜,930002+日曜+9301030,,930002+日曜+9301023
930002,日曜,930002+日曜+9301031,,930002+日曜+9301024
930002,日曜,930002+日曜+9301032,,930002+日曜+9301019
930002,日曜,930002+日曜+9301033,,930002+日曜+9301026
930002,日曜,930002+日曜+9301034,,930002+日曜+9301016
930002,日曜,930002+日曜+9301035,,930002+日曜+9301021
930002,日曜,930002+日曜+9301039,,930002+日曜+9301018
930002,日曜,930002+日曜+9301040,,930002+日曜+9301023
930002,日曜,930002+日曜+9301041,,930002+日曜+9301024
930002,日曜,930002+日曜+9301042,,930002+日曜+9301019
930002,日曜,930002+日曜+9301043,,930002+日曜+9301026
930002,日曜,930002+日曜+9301044,,930002+日曜+9301016
930002,日曜,930002+日曜+9301045,,930002+日曜+9301021
930002,日曜,930002+日曜+9301046,,930002+日曜+9301018
930002,日曜,930002+日曜+9301047,,930002+日曜+9301023
930002,日曜,930002+日曜+9301048,,930002+日曜+9301024
930002,日曜,930002+日曜+9301049,,930002+日曜+9301019
930002,日曜,930002+日曜+9301050,,930002+日曜+9301026
930002,日曜,930002+日曜+9301051,,930002+日曜+9301016
930002,日曜,930002+日曜+9301052,,930002+日曜+9301021
930002,日曜,930002+日曜+9301053,,930002+日曜+9301018
930002,日曜,930002+日曜+9301054,,930002+日曜+9301023
930002,日曜,930002+日曜+9301055,,930002+日曜+9301024
930002,日曜,930002+日曜+9301056,,930002+日曜+9301019
930002,日曜,930002+日曜+9301057,,930002+日曜+9301026
930002,日曜,930002+日曜+9301058,,930002+日曜+9301016
930002,日曜,930002+日曜+9301059,,930002+日曜+9301021
930002,日曜,930002+日曜+9301060,,930002+日曜+9301018
930002,日曜,930002+日曜+9301061,,930002+日曜+9301023
930002,日曜,930002+日曜+9301062,,930002+日曜+9301024
930002,日曜,930002+日曜+9301063,,930002+日曜+9301019
930002,日曜,930002+日曜+9301064,,930002+日曜+9301026
930002,日曜,930002+日曜+9301065,,930002+日曜+9301016
930002,日曜,930002+日曜+9301066,,930002+日曜+9301021
930002,日曜,930002+日曜+9301067,,930002+日曜+9301018
930002,日曜,930002+日曜+9301068,,930002+日曜+9301023
930002,日曜,930002+日曜+9301069,,930002+日曜+9301024
930002,日曜,930002+日曜+9301070,,930002+日曜+9301019
930002,日曜,930002+日曜+9301071,,930002+日曜+9301026
930002,日曜,930002+日曜+9301072,,930002+日曜+9301016
930002,日曜,930002+日曜+9301073,,930002+日曜+9301021
930002,日曜,930002+日曜+9301074,,930002+日曜+9301018
930002,日曜,930002+日曜+9301075,,930002+日曜+9301023
930002,日曜,930002+日曜+9301076,,930002+日曜+9301024
930002,日曜,930002+日曜+9301077,,930002+日曜+9301019
930002,日曜,930002+日曜+9301078,,930002+日曜+9301026
930002,日曜,930002+日曜+9301079,,930002+日曜+9301016
